var0,var1,var2,var3,var4,var5,var6,var7,var8,Class
0,9.4202,-4.3507,0.66768,0.33387,0.33355,0.33399,0.33367,0.33391,1
1,9.7044,-4.4601,0.66749,0.3336,0.33352,0.33345,0.33363,0.33395,1
2,9.8075,-4.0894,0.66742,0.33347,0.33315,0.33301,0.33364,0.33364,1
3,9.2771,-4.0349,0.66782,0.33322,0.33394,0.33379,0.3338,0.33391,1
4,9.6447,-3.5968,0.66768,0.33391,0.33301,0.33306,0.33326,0.33329,1
5,9.6782,-4.1302,0.66712,0.33339,0.33352,0.33397,0.33304,0.33366,1
6,8.9142,-4.0119,0.66781,0.33325,0.33387,0.33322,0.33397,0.33326,1
7,9.1394,-4.4592,0.66737,0.33314,0.33381,0.33347,0.33381,0.33317,1
8,9.8231,-3.779,0.66707,0.33348,0.33323,0.33392,0.33308,0.333,1
9,9.2623,-4.5824,0.66768,0.33369,0.33327,0.333,0.33335,0.33364,1
10,9.6072,-3.8108,0.66775,0.33328,0.33364,0.33364,0.33392,0.33359,1
11,8.8925,-4.2265,0.66706,0.33312,0.33322,0.33394,0.3336,0.33318,1
12,9.2496,-4.4385,0.66795,0.33305,0.33344,0.3333,0.33368,0.33308,1
13,9.47,-4.173,0.66775,0.33348,0.33316,0.33368,0.33323,0.33338,1
14,9.6976,-4.4405,0.66769,0.33368,0.33395,0.33352,0.33329,0.33357,1
15,8.8992,-4.7873,0.66712,0.33369,0.33325,0.33339,0.33347,0.33319,1
16,9.5353,-4.5013,0.66778,0.33372,0.33306,0.3336,0.33358,0.33322,1
17,9.5616,-4.7779,0.6673,0.33338,0.33344,0.33367,0.33307,0.33365,1
18,9.2488,-3.9549,0.66731,0.33378,0.33382,0.33365,0.33374,0.33319,1
19,9.5701,-4.1733,0.66796,0.33316,0.33387,0.33389,0.3338,0.33327,1
20,8.8904,-4.796,0.66763,0.33303,0.33339,0.33353,0.3331,0.33354,1
21,8.7498,-4.0136,0.66703,0.33361,0.33347,0.33366,0.3338,0.33336,1
22,8.6209,-4.0353,0.66734,0.33314,0.33319,0.3333,0.33313,0.33324,1
23,8.857,-4.6277,0.66755,0.33345,0.33395,0.33314,0.33302,0.33325,1
24,9.4789,-4.9501,0.66781,0.33338,0.33336,0.33348,0.33388,0.33318,1
25,9.2571,-4.8104,0.66744,0.33368,0.33397,0.33372,0.33334,0.33354,1
26,9.0202,-4.5731,0.66709,0.33328,0.33359,0.33385,0.33315,0.33305,1
27,8.9966,-4.9447,0.66768,0.33378,0.33364,0.33319,0.33392,0.33331,1
28,8.5765,-4.4658,0.66765,0.33363,0.33321,0.33309,0.33356,0.33317,1
29,9.0626,-4.4458,0.66751,0.33332,0.33355,0.33319,0.33398,0.33319,1
30,8.8186,-4.7436,0.66782,0.33386,0.33362,0.33362,0.33398,0.33353,1
31,9.3493,-4.9068,0.66774,0.33341,0.33374,0.33393,0.33345,0.33346,1
32,9.1205,-4.791,0.66776,0.33385,0.33328,0.33377,0.33364,0.33368,1
33,8.8638,-4.8183,0.66724,0.33398,0.33313,0.33389,0.33382,0.33346,1
34,9.4153,-4.3011,0.66723,0.33332,0.33364,0.33381,0.33341,0.33306,1
35,8.7153,-4.7274,0.66739,0.33336,0.33376,0.33305,0.33312,0.33335,1
36,8.9483,-4.7621,0.66719,0.33309,0.3331,0.33333,0.33315,0.33311,1
37,8.8099,-4.4366,0.66788,0.33381,0.33347,0.33302,0.33338,0.33312,1
38,9.0089,-4.4578,0.66772,0.33309,0.33312,0.3338,0.33374,0.3338,1
39,8.4387,-4.9551,0.66762,0.33389,0.33363,0.33392,0.33359,0.33302,1
40,9.0101,-5.3893,0.66773,0.33331,0.33373,0.3338,0.33368,0.33331,1
41,9.1545,-4.6428,0.66742,0.33316,0.33379,0.33314,0.33327,0.33377,1
42,8.5958,-5.2283,0.66768,0.33316,0.33323,0.33305,0.3334,0.33317,1
43,8.5413,-5.0704,0.6671,0.33392,0.3338,0.3336,0.33351,0.33349,1
44,9.029,-5.2463,0.66722,0.33378,0.33317,0.33343,0.33304,0.33329,1
45,8.3183,-4.787,0.66775,0.33385,0.3338,0.33334,0.33386,0.33377,1
46,8.8678,-4.7084,0.66734,0.3337,0.33335,0.33303,0.33339,0.33398,1
47,8.335,-5.0388,0.66785,0.33321,0.33348,0.33384,0.33308,0.3339,1
48,8.7486,-5.3011,0.66709,0.33331,0.33342,0.33364,0.33382,0.33311,1
49,8.3074,-5.2514,0.66769,0.33324,0.33325,0.33304,0.33333,0.33349,1
50,8.6907,-5.3826,0.66784,0.33384,0.33361,0.33307,0.3338,0.33307,1
51,8.8042,-5.4135,0.66798,0.33385,0.33393,0.33392,0.33339,0.33344,1
52,8.635,-5.4738,0.66702,0.3333,0.3333,0.333,0.33392,0.33326,1
53,8.6149,-5.5949,0.66762,0.33359,0.33378,0.33324,0.33361,0.33342,1
54,9.0447,-5.0638,0.66786,0.33377,0.33351,0.33366,0.33373,0.33318,1
55,8.4499,-5.1035,0.66721,0.33362,0.33335,0.33386,0.33387,0.33347,1
56,8.8523,-4.7568,0.66714,0.33388,0.33347,0.33301,0.33328,0.33375,1
57,8.8477,-4.9985,0.66775,0.33327,0.33329,0.33384,0.33365,0.33357,1
58,8.599,-5.0238,0.66729,0.33376,0.33358,0.33395,0.33361,0.33349,1
59,8.3743,-5.5368,0.66735,0.3337,0.33305,0.33379,0.33326,0.33366,1
60,8.6735,-4.8626,0.66725,0.33381,0.33373,0.334,0.33396,0.3336,1
61,8.1855,-5.3164,0.66753,0.33347,0.33376,0.33395,0.33365,0.33376,1
62,8.2156,-5.5025,0.66784,0.33371,0.33337,0.33396,0.33373,0.33318,1
63,8.483,-5.5512,0.66731,0.33326,0.33303,0.33321,0.33309,0.33369,1
64,8.6582,-5.7215,0.66741,0.33336,0.33349,0.33316,0.33361,0.33377,1
65,7.9843,-5.807,0.66763,0.33394,0.33369,0.33367,0.33323,0.33351,1
66,8.4933,-5.1572,0.66734,0.33359,0.33333,0.33367,0.33376,0.33394,1
67,8.6717,-5.5254,0.66727,0.33373,0.3336,0.33307,0.33305,0.33365,1
68,8.4537,-4.9657,0.667,0.33306,0.33306,0.33371,0.33391,0.33341,1
69,8.3268,-5.2725,0.66783,0.33339,0.33341,0.33376,0.33306,0.33333,1
70,8.362,-5.4894,0.66747,0.33356,0.33363,0.33395,0.3338,0.33381,1
71,8.4741,-5.5624,0.66756,0.33339,0.33387,0.33303,0.3336,0.33328,1
72,8.3484,-5.2452,0.66763,0.3334,0.33333,0.33324,0.33341,0.33361,1
73,7.832,-5.6566,0.66733,0.33394,0.33348,0.33379,0.33325,0.33345,1
74,8.1205,-5.8268,0.66745,0.33341,0.33309,0.33379,0.33311,0.33398,1
75,7.7177,-5.5801,0.66748,0.33398,0.33397,0.33373,0.33306,0.33387,1
76,7.8388,-6.1235,0.66792,0.33381,0.3331,0.33365,0.33323,0.33361,1
77,8.241,-6.0431,0.66761,0.33357,0.33377,0.33317,0.33308,0.3334,1
78,7.982,-5.5508,0.66745,0.33347,0.33376,0.33367,0.33383,0.33365,1
79,7.8275,-5.5528,0.66774,0.33313,0.33302,0.33398,0.33335,0.33369,1
80,8.39,-5.3001,0.66769,0.33377,0.33308,0.3331,0.33339,0.3335,1
81,7.7072,-6.0473,0.66762,0.33381,0.33331,0.33335,0.33318,0.33333,1
82,7.6665,-5.7223,0.66727,0.33357,0.33343,0.33376,0.33344,0.33328,1
83,7.7443,-5.3075,0.6676,0.33317,0.3336,0.3331,0.33369,0.33327,1
84,7.5398,-6.1615,0.66788,0.33377,0.3335,0.33316,0.33311,0.33388,1
85,7.8153,-6.0675,0.66737,0.33312,0.33308,0.33368,0.33393,0.33321,1
86,7.6276,-5.444,0.66756,0.33335,0.33397,0.33312,0.33313,0.33396,1
87,8.0485,-6.1252,0.66795,0.3339,0.33383,0.33305,0.33314,0.33395,1
88,8.2243,-5.435,0.66713,0.33325,0.33374,0.33381,0.33349,0.33391,1
89,7.7395,-5.6963,0.66758,0.33305,0.3334,0.33367,0.33343,0.33314,1
90,7.5878,-6.0041,0.66721,0.33313,0.33329,0.33351,0.33386,0.33397,1
91,7.9712,-5.9242,0.66795,0.33393,0.33368,0.33322,0.3333,0.33368,1
92,8.0571,-5.8622,0.66792,0.33377,0.33344,0.33376,0.33399,0.33325,1
93,8.1959,-5.6108,0.66706,0.33333,0.33398,0.33395,0.33307,0.33305,1
94,7.6767,-5.6095,0.66758,0.33355,0.33331,0.33315,0.33316,0.33391,1
95,7.657,-6.1254,0.66744,0.3339,0.33301,0.33324,0.33345,0.33303,1
96,7.5673,-5.7996,0.66762,0.33319,0.33352,0.33362,0.33384,0.33392,1
97,8.1698,-6.0888,0.66747,0.33392,0.33363,0.33356,0.33398,0.33303,1
98,7.918,-5.6882,0.66764,0.3336,0.33355,0.33361,0.3332,0.33358,1
99,8.2337,-6.4021,0.66738,0.33389,0.33317,0.33308,0.33395,0.33355,1
100,7.4875,-5.7591,0.66752,0.33313,0.33353,0.33391,0.33399,0.33334,1
101,7.5267,-6.0251,0.66749,0.33352,0.33391,0.33312,0.3334,0.33372,1
102,7.2852,-6.4088,0.66774,0.33352,0.33365,0.33342,0.33321,0.33317,1
103,7.2045,-6.3938,0.66702,0.33367,0.3336,0.33394,0.33389,0.33363,1
104,7.3836,-5.6946,0.66748,0.33318,0.3336,0.33317,0.33349,0.33376,1
105,7.3542,-6.5739,0.66723,0.3338,0.33352,0.33391,0.33346,0.33319,1
106,7.48,-6.0001,0.66777,0.33357,0.33345,0.33387,0.33359,0.33316,1
107,7.3445,-5.948,0.66792,0.33316,0.33345,0.33339,0.33359,0.3336,1
108,7.0399,-6.2306,0.66784,0.33328,0.33311,0.3332,0.33359,0.33369,1
109,7.3769,-6.4512,0.66724,0.33355,0.33375,0.33323,0.33323,0.33399,1
110,7.5516,-5.8418,0.66755,0.3332,0.33359,0.33395,0.33304,0.33381,1
111,7.3632,-6.1157,0.66736,0.33352,0.33341,0.33313,0.33367,0.33309,1
112,7.5696,-6.5784,0.66762,0.33337,0.33331,0.3336,0.33302,0.33321,1
113,7.8476,-6.089,0.66765,0.33398,0.33393,0.3333,0.33331,0.33354,1
114,7.8715,-5.9409,0.66735,0.33363,0.33319,0.33392,0.33352,0.33332,1
115,7.3771,-6.2675,0.66779,0.33352,0.33319,0.33304,0.3335,0.33328,1
116,7.7134,-6.6998,0.66777,0.33328,0.3339,0.33314,0.3335,0.33395,1
117,7.4043,-6.6141,0.66783,0.33361,0.33383,0.33307,0.33307,0.33315,1
118,6.9773,-6.3357,0.6679,0.3337,0.33378,0.33337,0.33355,0.3331,1
119,7.8103,-6.1775,0.66704,0.33358,0.33364,0.33383,0.3332,0.33389,1
120,6.8996,-6.4567,0.66703,0.33308,0.3337,0.33399,0.33329,0.3339,1
121,6.7966,-6.6221,0.66738,0.33362,0.33373,0.33323,0.33376,0.3336,1
122,7.4078,-6.2648,0.66766,0.33312,0.33369,0.33303,0.33304,0.33379,1
123,7.5857,-5.9686,0.6671,0.33399,0.33321,0.33339,0.33324,0.33381,1
124,7.51,-6.295,0.66766,0.33383,0.33379,0.33315,0.3337,0.33341,1
125,7.2561,-6.2487,0.66726,0.33365,0.33344,0.33312,0.3339,0.33354,1
126,7.0833,-6.0651,0.66784,0.33377,0.33352,0.33366,0.33314,0.33384,1
127,6.9221,-6.6639,0.66742,0.33317,0.33303,0.33338,0.33333,0.33393,1
128,6.8196,-6.9065,0.66765,0.3335,0.33355,0.3336,0.33354,0.33398,1
129,7.304,-7.0199,0.66762,0.33312,0.33383,0.33352,0.33384,0.33332,1
130,7.0361,-6.417,0.66739,0.33393,0.33347,0.33308,0.33316,0.3333,1
131,7.3313,-6.1514,0.66767,0.33349,0.33313,0.3339,0.33341,0.33362,1
132,7.4826,-6.4797,0.66786,0.33373,0.33306,0.33391,0.33344,0.33371,1
133,6.9097,-6.7535,0.66721,0.33359,0.33343,0.33338,0.33354,0.33332,1
134,7.3305,-6.2441,0.66711,0.33367,0.33379,0.33317,0.33313,0.33354,1
135,7.1655,-6.6784,0.66744,0.33322,0.3331,0.33361,0.33382,0.33328,1
136,6.728,-6.8585,0.66763,0.33324,0.33374,0.33347,0.33346,0.33376,1
137,6.6319,-7.1077,0.66767,0.33361,0.33383,0.33314,0.33378,0.33316,1
138,7.2791,-6.2095,0.66793,0.33377,0.33389,0.33305,0.3336,0.33384,1
139,6.4368,-6.4111,0.66747,0.33344,0.33329,0.33367,0.33387,0.33373,1
140,6.7116,-6.7021,0.66765,0.33361,0.33311,0.33331,0.33372,0.3332,1
141,6.4947,-6.3886,0.66797,0.33313,0.33331,0.33337,0.33321,0.33376,1
142,6.9188,-7.1745,0.66734,0.33388,0.33354,0.33379,0.33368,0.33377,1
143,6.631,-6.9782,0.66793,0.33394,0.33393,0.33398,0.33341,0.3334,1
